ID,Prob1
0, 0.35
1, 0.28
2, 0.29
3, 0.26
4, 0.22
5, 0.24
6, 0.29
7, 0.67
8, 0.80
9, 0.22
10, 0.24
11, 0.28
12, 0.46
13, 0.53
14, 0.40
15, 0.24
16, 0.28
17, 0.14
18, 0.23
19, 0.33
20, 0.28
21, 0.22
22, 0.37
23, 0.29
24, 0.26
25, 0.39
26, 0.45
27, 0.19
28, 0.23
29, 0.68
30, 0.09
31, 0.23
32, 0.18
33, 0.29
34, 0.50
35, 0.47
36, 0.29
37, 0.40
38, 0.34
39, 0.49
40, 0.30
41, 0.15
42, 0.25
43, 0.36
44, 0.40
45, 0.33
46, 0.31
47, 0.54
48, 0.32
49, 0.33
50, 0.58
51, 0.13
52, 0.37
53, 0.24
54, 0.62
55, 0.19
56, 0.50
57, 0.21
58, 0.26
59, 0.25
60, 0.38
61, 0.37
62, 0.21
63, 0.14
64, 0.28
65, 0.27
66, 0.84
67, 0.16
68, 0.20
69, 0.25
70, 0.84
71, 0.84
72, 0.26
73, 0.29
74, 0.18
75, 0.60
76, 0.17
77, 0.51
78, 0.18
79, 0.33
80, 0.32
81, 0.22
82, 0.26
83, 0.30
84, 0.34
85, 0.21
86, 0.59
87, 0.30
88, 0.21
89, 0.56
90, 0.18
91, 0.21
92, 0.17
93, 0.51
94, 0.13
95, 0.29
96, 0.41
97, 0.21
98, 0.19
99, 0.54
100, 0.13
101, 0.52
102, 0.35
103, 0.18
104, 0.36
105, 0.28
106, 0.41
107, 0.27
108, 0.21
109, 0.34
110, 0.43
111, 0.25
112, 0.08
113, 0.37
114, 0.64
115, 0.13
116, 0.21
117, 0.28
118, 0.30
119, 0.35
120, 0.19
121, 0.39
122, 0.64
123, 0.51
124, 0.18
125, 0.36
126, 0.40
127, 0.31
128, 0.29
129, 0.22
130, 0.51
131, 0.45
132, 0.16
133, 0.30
134, 0.15
135, 0.33
136, 0.20
137, 0.15
138, 0.29
139, 0.17
140, 0.18
141, 0.22
142, 0.50
143, 0.21
144, 0.28
145, 0.17
146, 0.42
147, 0.26
148, 0.28
149, 0.59
150, 0.51
151, 0.26
152, 0.44
153, 0.20
154, 0.78
155, 0.28
156, 0.38
157, 0.26
158, 0.17
159, 0.21
160, 0.43
161, 0.15
162, 0.23
163, 0.24
164, 0.16
165, 0.42
166, 0.19
167, 0.31
168, 0.28
169, 0.15
170, 0.11
171, 0.40
172, 0.18
173, 0.57
174, 0.32
175, 0.30
176, 0.20
177, 0.26
178, 0.61
179, 0.14
180, 0.58
181, 0.69
182, 0.22
183, 0.16
184, 0.64
185, 0.25
186, 0.75
187, 0.82
188, 0.25
189, 0.25
190, 0.90
191, 0.29
192, 0.54
193, 0.27
194, 0.26
195, 0.39
196, 0.13
197, 0.25
198, 0.36
199, 0.18
200, 0.19
201, 0.22
202, 0.84
203, 0.19
204, 0.32
205, 0.15
206, 0.15
207, 0.33
208, 0.23
209, 0.61
210, 0.27
211, 0.35
212, 0.26
213, 0.52
214, 0.31
215, 0.26
216, 0.58
217, 0.23
218, 0.11
219, 0.37
220, 0.24
221, 0.30
222, 0.16
223, 0.60
224, 0.36
225, 0.26
226, 0.45
227, 0.26
228, 0.46
229, 0.13
230, 0.25
231, 0.65
232, 0.31
233, 0.35
234, 0.25
235, 0.44
236, 0.27
237, 0.36
238, 0.61
239, 0.36
240, 0.41
241, 0.21
242, 0.24
243, 0.11
244, 0.22
245, 0.19
246, 0.14
247, 0.67
248, 0.39
249, 0.23
250, 0.86
251, 0.26
252, 0.16
253, 0.20
254, 0.27
255, 0.16
256, 0.46
257, 0.25
258, 0.87
259, 0.22
260, 0.64
261, 0.42
262, 0.31
263, 0.18
264, 0.25
265, 0.23
266, 0.19
267, 0.30
268, 0.20
269, 0.54
270, 0.24
271, 0.16
272, 0.18
273, 0.28
274, 0.59
275, 0.25
276, 0.82
277, 0.78
278, 0.29
279, 0.23
280, 0.79
281, 0.25
282, 0.15
283, 0.34
284, 0.29
285, 0.54
286, 0.31
287, 0.42
288, 0.21
289, 0.23
290, 0.20
291, 0.28
292, 0.26
293, 0.20
294, 0.27
295, 0.14
296, 0.49
297, 0.15
298, 0.31
299, 0.67
300, 0.32
301, 0.29
302, 0.55
303, 0.43
304, 0.19
305, 0.49
306, 0.31
307, 0.27
308, 0.21
309, 0.62
310, 0.42
311, 0.24
312, 0.40
313, 0.30
314, 0.72
315, 0.52
316, 0.08
317, 0.42
318, 0.32
319, 0.35
320, 0.31
321, 0.36
322, 0.29
323, 0.31
324, 0.28
325, 0.31
326, 0.34
327, 0.34
328, 0.27
329, 0.20
330, 0.16
331, 0.53
332, 0.42
333, 0.23
334, 0.37
335, 0.16
336, 0.24
337, 0.93
338, 0.28
339, 0.28
340, 0.46
341, 0.19
342, 0.15
343, 0.05
344, 0.28
345, 0.54
346, 0.53
347, 0.08
348, 0.12
349, 0.42
350, 0.15
351, 0.34
352, 0.20
353, 0.46
354, 0.31
355, 0.20
356, 0.09
357, 0.36
358, 0.22
359, 0.23
360, 0.23
361, 0.19
362, 0.19
363, 0.42
364, 0.20
365, 0.78
366, 0.28
367, 0.39
368, 0.22
369, 0.42
370, 0.23
371, 0.18
372, 0.32
373, 0.33
374, 0.40
375, 0.28
376, 0.55
377, 0.16
378, 0.54
379, 0.23
380, 0.32
381, 0.17
382, 0.36
383, 0.74
384, 0.25
385, 0.31
386, 0.32
387, 0.32
388, 0.19
389, 0.29
390, 0.14
391, 0.25
392, 0.58
393, 0.31
394, 0.43
395, 0.25
396, 0.55
397, 0.19
398, 0.23
399, 0.85
400, 0.35
401, 0.34
402, 0.12
403, 0.21
404, 0.29
405, 0.28
406, 0.48
407, 0.45
408, 0.25
409, 0.32
410, 0.06
411, 0.25
412, 0.46
413, 0.53
414, 0.24
415, 0.27
416, 0.31
417, 0.25
418, 0.20
419, 0.51
420, 0.42
421, 0.19
422, 0.44
423, 0.21
424, 0.33
425, 0.41
426, 0.20
427, 0.21
428, 0.17
429, 0.12
430, 0.40
431, 0.56
432, 0.17
433, 0.22
434, 0.60
435, 0.30
436, 0.49
437, 0.53
438, 0.32
439, 0.19
440, 0.27
441, 0.18
442, 0.59
443, 0.28
444, 0.22
445, 0.24
446, 0.58
447, 0.21
448, 0.85
449, 0.35
450, 0.30
451, 0.67
452, 0.41
453, 0.50
454, 0.33
455, 0.21
456, 0.71
457, 0.50
458, 0.43
459, 0.23
460, 0.61
461, 0.13
462, 0.18
463, 0.17
464, 0.18
465, 0.17
466, 0.23
467, 0.37
468, 0.22
469, 0.40
470, 0.26
471, 0.35
472, 0.16
473, 0.39
474, 0.43
475, 0.33
476, 0.12
477, 0.36
478, 0.29
479, 0.18
480, 0.17
481, 0.34
482, 0.39
483, 0.31
484, 0.20
485, 0.83
486, 0.75
487, 0.65
488, 0.43
489, 0.49
490, 0.28
491, 0.45
492, 0.08
493, 0.14
494, 0.57
495, 0.39
496, 0.71
497, 0.63
498, 0.86
499, 0.54
500, 0.54
501, 0.32
502, 0.21
503, 0.26
504, 0.54
505, 0.19
506, 0.35
507, 0.07
508, 0.24
509, 0.47
510, 0.42
511, 0.19
512, 0.31
513, 0.13
514, 0.23
515, 0.74
516, 0.20
517, 0.58
518, 0.40
519, 0.80
520, 0.58
521, 0.35
522, 0.29
523, 0.45
524, 0.22
525, 0.65
526, 0.25
527, 0.23
528, 0.55
529, 0.24
530, 0.18
531, 0.38
532, 0.37
533, 0.29
534, 0.74
535, 0.38
536, 0.33
537, 0.21
538, 0.23
539, 0.44
540, 0.19
541, 0.08
542, 0.64
543, 0.49
544, 0.17
545, 0.55
546, 0.37
547, 0.19
548, 0.35
549, 0.13
550, 0.56
551, 0.29
552, 0.71
553, 0.21
554, 0.25
555, 0.15
556, 0.24
557, 0.19
558, 0.23
559, 0.25
560, 0.32
561, 0.26
562, 0.10
563, 0.22
564, 0.26
565, 0.17
566, 0.21
567, 0.31
568, 0.30
569, 0.22
570, 0.35
571, 0.22
572, 0.17
573, 0.54
574, 0.32
575, 0.25
576, 0.23
577, 0.58
578, 0.43
579, 0.36
580, 0.56
581, 0.20
582, 0.56
583, 0.36
584, 0.21
585, 0.20
586, 0.68
587, 0.51
588, 0.18
589, 0.67
590, 0.09
591, 0.17
592, 0.72
593, 0.33
594, 0.28
595, 0.35
596, 0.27
597, 0.35
598, 0.24
599, 0.27
600, 0.42
601, 0.30
602, 0.17
603, 0.69
604, 0.20
605, 0.16
606, 0.52
607, 0.06
608, 0.32
609, 0.40
610, 0.33
611, 0.58
612, 0.49
613, 0.27
614, 0.29
615, 0.20
616, 0.39
617, 0.26
618, 0.22
619, 0.39
620, 0.60
621, 0.38
622, 0.27
623, 0.39
624, 0.17
625, 0.46
626, 0.26
627, 0.20
628, 0.45
629, 0.63
630, 0.37
631, 0.20
632, 0.36
633, 0.23
634, 0.26
635, 0.61
636, 0.44
637, 0.23
638, 0.42
639, 0.34
640, 0.18
641, 0.49
642, 0.51
643, 0.33
644, 0.37
645, 0.31
646, 0.24
647, 0.12
648, 0.23
649, 0.27
650, 0.32
651, 0.20
652, 0.70
653, 0.22
654, 0.18
655, 0.31
656, 0.31
657, 0.69
658, 0.45
659, 0.31
660, 0.81
661, 0.34
662, 0.24
663, 0.12
664, 0.79
665, 0.13
666, 0.21
667, 0.23
668, 0.58
669, 0.23
670, 0.11
671, 0.30
672, 0.28
673, 0.15
674, 0.21
675, 0.35
676, 0.26
677, 0.51
678, 0.23
679, 0.19
680, 0.83
681, 0.34
682, 0.23
683, 0.61
684, 0.33
685, 0.23
686, 0.18
687, 0.26
688, 0.13
689, 0.29
690, 0.51
691, 0.18
692, 0.39
693, 0.35
694, 0.45
695, 0.31
696, 0.26
697, 0.09
698, 0.11
699, 0.27
700, 0.50
701, 0.37
702, 0.21
703, 0.33
704, 0.54
705, 0.48
706, 0.24
707, 0.17
708, 0.15
709, 0.19
710, 0.39
711, 0.88
712, 0.19
713, 0.25
714, 0.31
715, 0.33
716, 0.85
717, 0.28
718, 0.51
719, 0.23
720, 0.25
721, 0.71
722, 0.51
723, 0.37
724, 0.23
725, 0.52
726, 0.28
